Unnamed: 0,name,year,month,day,hour,lat,long,status,wind,pressure
365,Anita,1977,8,29,12,26.9,-88.4,tropical depression,20,1012
366,Anita,1977,8,29,18,27.0,-88.9,tropical depression,25,1010
367,Anita,1977,8,30,0,26.9,-89.4,tropical depression,30,1009
368,Anita,1977,8,30,6,26.8,-89.8,tropical storm,40,1006
369,Anita,1977,8,30,12,26.7,-90.3,tropical storm,50,1003
370,Anita,1977,8,30,18,26.5,-90.6,hurricane,65,997
371,Anita,1977,8,31,0,26.4,-91.0,hurricane,70,991
372,Anita,1977,8,31,6,26.3,-91.4,hurricane,75,988
373,Anita,1977,8,31,12,26.2,-91.8,hurricane,75,986
374,Anita,1977,8,31,18,26.1,-92.3,hurricane,80,985
375,Anita,1977,9,1,0,25.9,-92.8,hurricane,80,979
376,Anita,1977,9,1,6,25.8,-93.7,hurricane,85,972
377,Anita,1977,9,1,12,25.5,-94.7,hurricane,90,963
378,Anita,1977,9,1,18,25.2,-95.5,hurricane,110,945
379,Anita,1977,9,2,0,24.6,-96.2,hurricane,140,931
380,Anita,1977,9,2,6,24.2,-97.1,hurricane,150,926
381,Anita,1977,9,2,12,23.7,-98.0,hurricane,120,940
382,Anita,1977,9,2,18,23.1,-99.2,hurricane,70,978
383,Anita,1977,9,3,0,22.5,-101.0,tropical storm,40,998
384,Anita,1977,9,3,6,22.0,-103.0,tropical depression,25,1011
576,Irma,1978,10,2,12,31.7,-31.5,subtropical depression,30,1010
577,Irma,1978,10,2,18,32.0,-31.5,subtropical depression,30,1006
578,Irma,1978,10,4,12,35.1,-31.5,tropical storm,40,1004
579,Irma,1978,10,4,18,35.8,-31.4,tropical storm,45,1002
580,Irma,1978,10,5,0,36.7,-31.2,tropical storm,45,1001
581,Irma,1978,10,5,6,38.2,-30.4,tropical storm,40,1002
714,David,1979,8,25,12,11.7,-36.1,tropical depression,25,1008
715,David,1979,8,25,18,11.7,-38.2,tropical depression,25,1007
716,David,1979,8,26,0,11.7,-40.3,tropical depression,30,1006
717,David,1979,8,26,6,11.6,-42.2,tropical storm,35,1005
718,David,1979,8,26,12,11.6,-44.0,tropical storm,40,1003
719,David,1979,8,26,18,11.6,-45.5,tropical storm,45,998
720,David,1979,8,27,0,11.7,-47.0,tropical storm,55,990
721,David,1979,8,27,6,11.8,-48.5,hurricane,65,980
722,David,1979,8,27,12,11.8,-50.0,hurricane,80,966
723,David,1979,8,27,18,11.9,-51.5,hurricane,95,954
724,David,1979,8,28,0,12.2,-52.9,hurricane,115,947
725,David,1979,8,28,6,12.5,-54.4,hurricane,125,941
726,David,1979,8,28,12,12.8,-55.7,hurricane,130,938
727,David,1979,8,28,18,13.2,-56.9,hurricane,125,941
728,David,1979,8,29,0,13.7,-58.0,hurricane,120,944
729,David,1979,8,29,6,14.2,-59.2,hurricane,120,942
730,David,1979,8,29,12,14.8,-60.3,hurricane,125,938
731,David,1979,8,29,18,15.3,-61.6,hurricane,125,933
732,David,1979,8,30,0,15.6,-62.8,hurricane,130,929
733,David,1979,8,30,6,16.0,-64.2,hurricane,140,925
734,David,1979,8,30,12,16.3,-65.2,hurricane,145,924
735,David,1979,8,30,18,16.6,-66.2,hurricane,150,924
736,David,1979,8,31,0,16.8,-67.3,hurricane,145,927
737,David,1979,8,31,6,17.0,-68.3,hurricane,145,928
738,David,1979,8,31,12,17.2,-69.1,hurricane,145,927
739,David,1979,8,31,18,17.9,-69.7,hurricane,150,926
740,David,1979,9,1,0,18.8,-70.4,hurricane,130,953
741,David,1979,9,1,6,19.3,-72.0,hurricane,100,978
742,David,1979,9,1,12,19.7,-73.7,hurricane,65,1002
743,David,1979,9,1,18,20.6,-74.6,tropical storm,60,1002
744,David,1979,9,2,0,21.3,-75.2,hurricane,65,997
745,David,1979,9,2,6,21.9,-75.5,hurricane,70,990
746,David,1979,9,2,12,23.0,-76.3,hurricane,70,984
747,David,1979,9,2,18,23.9,-77.4,hurricane,75,979
748,David,1979,9,3,0,24.6,-78.2,hurricane,80,976
749,David,1979,9,3,6,25.3,-79.1,hurricane,80,974
750,David,1979,9,3,12,26.3,-79.6,hurricane,85,973
751,David,1979,9,3,18,27.2,-80.2,hurricane,85,972
752,David,1979,9,4,0,28.0,-80.5,hurricane,85,971
753,David,1979,9,4,6,29.1,-80.8,hurricane,85,970
754,David,1979,9,4,12,30.2,-80.9,hurricane,85,970
755,David,1979,9,4,18,31.5,-81.2,hurricane,80,970
756,David,1979,9,5,0,32.5,-81.1,hurricane,65,972
757,David,1979,9,5,6,33.5,-80.9,tropical storm,55,976
758,David,1979,9,5,12,34.9,-80.6,tropical storm,45,980
759,David,1979,9,5,18,36.2,-80.1,tropical storm,40,984
760,David,1979,9,6,0,37.6,-79.5,tropical storm,40,987
761,David,1979,9,6,6,39.2,-78.5,tropical storm,40,989
762,David,1979,9,6,12,41.5,-76.3,tropical storm,40,991
763,David,1979,9,6,18,43.3,-73.7,extratropical,40,992
764,David,1979,9,7,0,45.0,-70.0,extratropical,45,991
765,David,1979,9,7,6,46.5,-66.0,extratropical,50,988
766,David,1979,9,7,12,47.5,-61.5,extratropical,50,987
767,David,1979,9,7,18,50.0,-57.0,extratropical,55,986
768,David,1979,9,8,0,52.5,-52.5,extratropical,60,985
933,Allen,1980,8,1,0,10.8,-34.3,tropical depression,30,1010
934,Allen,1980,8,1,6,10.7,-36.4,tropical depression,30,1009
935,Allen,1980,8,1,12,10.7,-38.6,tropical depression,30,1008
936,Allen,1980,8,1,18,10.7,-40.7,tropical depression,30,1006
937,Allen,1980,8,2,0,11.0,-42.8,tropical storm,35,1005
938,Allen,1980,8,2,6,11.4,-44.8,tropical storm,45,1000
939,Allen,1980,8,2,12,11.9,-46.9,tropical storm,55,995
940,Allen,1980,8,2,18,12.3,-49.1,tropical storm,60,990
941,Allen,1980,8,3,0,12.4,-51.4,hurricane,65,985
942,Allen,1980,8,3,6,12.6,-53.6,hurricane,70,980
943,Allen,1980,8,3,12,12.8,-55.6,hurricane,80,975
944,Allen,1980,8,3,18,12.9,-57.5,hurricane,95,965
945,Allen,1980,8,4,0,13.3,-59.1,hurricane,110,950
946,Allen,1980,8,4,6,13.6,-61.0,hurricane,115,948
947,Allen,1980,8,4,12,14.0,-63.0,hurricane,125,945
948,Allen,1980,8,4,18,14.4,-64.9,hurricane,130,930
949,Allen,1980,8,5,0,14.8,-66.7,hurricane,140,911
950,Allen,1980,8,5,6,15.4,-68.6,hurricane,145,916
951,Allen,1980,8,5,12,15.9,-70.5,hurricane,155,932
952,Allen,1980,8,5,18,16.5,-72.3,hurricane,150,940
953,Allen,1980,8,6,0,17.8,-73.8,hurricane,140,945
954,Allen,1980,8,6,6,18.3,-75.9,hurricane,115,955
955,Allen,1980,8,6,12,19.2,-78.0,hurricane,115,955
956,Allen,1980,8,6,18,20.0,-80.1,hurricane,125,955
957,Allen,1980,8,7,0,20.1,-81.9,hurricane,135,945
958,Allen,1980,8,7,6,20.4,-83.6,hurricane,145,935
959,Allen,1980,8,7,12,21.0,-84.8,hurricane,155,910
960,Allen,1980,8,7,18,21.8,-86.4,hurricane,165,899
961,Allen,1980,8,8,0,22.2,-87.9,hurricane,155,920
